"No.","Time","Source","Destination","Protocol","Length","Info"
"34","1.689866","10.100.102.210","157.240.195.56","TLSv1.3","85","[TCP ACKed unseen segment] , Application Data"
"35","1.691955","157.240.195.56","10.100.102.210","TLSv1.3","89","Application Data"
"36","1.780897","10.100.102.210","157.240.195.56","TLSv1.3","201","Application Data"
"37","1.806117","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [ACK] Seq=524 Ack=873 Win=265 Len=1392 [TCP segment of a reassembled PDU]"
"38","1.806117","157.240.195.56","10.100.102.210","TLSv1.3","1446","Application Data"
"39","1.806117","157.240.195.56","10.100.102.210","TLSv1.3","1338","Application Data, Application Data"
"40","1.845258","157.240.195.56","10.100.102.210","TLSv1.3","89","Application Data"
"41","1.872395","157.240.195.56","10.100.102.210","TLSv1.3","296","Application Data"
"42","1.872395","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [ACK] Seq=4869 Ack=1020 Win=269 Len=1392 [TCP segment of a reassembled PDU]"
"43","1.872395","157.240.195.56","10.100.102.210","TLSv1.3","1446","Application Data"
"44","1.874491","157.240.195.56","10.100.102.210","TLSv1.3","1446","Application Data"
"45","1.894359","157.240.195.56","10.100.102.210","TCP","1446","[TCP Previous segment not captured] 443  >  53337 [PSH, ACK] Seq=20181 Ack=1020 Win=269 Len=1392 [TCP segment of a reassembled PDU]"
"46","1.896418","157.240.195.56","10.100.102.210","TLSv1.3","1446","Application Data"
"47","1.896418","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [PSH, ACK] Seq=22965 Ack=1020 Win=269 Len=1392 [TCP segment of a reassembled PDU]"
"48","1.899052","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [ACK] Seq=24357 Ack=1020 Win=269 Len=1392 [TCP segment of a reassembled PDU]"
"49","1.899052","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [PSH, ACK] Seq=25749 Ack=1020 Win=269 Len=1392 [TCP segment of a reassembled PDU]"
"50","1.940735","10.100.102.210","157.240.195.56","TLSv1.3","198","[TCP ACKed unseen segment] , Application Data"
"51","1.941398","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [ACK] Seq=27141 Ack=1020 Win=269 Len=1392 [TCP segment of a reassembled PDU]"
"52","1.941398","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [PSH, ACK] Seq=28533 Ack=1020 Win=269 Len=1392 [TCP segment of a reassembled PDU]"
"53","1.941575","157.240.195.56","10.100.102.210","TCP","1446","[TCP Previous segment not captured] 443  >  53337 [PSH, ACK] Seq=31317 Ack=1020 Win=269 Len=1392 [TCP segment of a reassembled PDU]"
"54","1.941575","157.240.195.56","10.100.102.210","TCP","1446","[TCP Out-Of-Order] 443  >  53337 [ACK] Seq=29925 Ack=1020 Win=269 Len=1392 [TCP segment of a reassembled PDU]"
"55","1.944297","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [ACK] Seq=32709 Ack=1020 Win=269 Len=1392 [TCP segment of a reassembled PDU]"
"56","1.944297","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [PSH, ACK] Seq=34101 Ack=1020 Win=269 Len=1392 [TCP segment of a reassembled PDU]"
