"No.","Time","Source","Destination","Protocol","Length","Info"
"255","65.254836","10.100.102.210","35.186.224.25","QUIC","75","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"256","65.255266","10.100.102.210","35.186.224.25","QUIC","77","Protected Payload (KP0), DCID=f5b16c721fcbda7d"
"257","65.259053","35.186.224.25","10.100.102.210","QUIC","936","Protected Payload (KP0)"
"258","65.259990","10.100.102.210","35.186.224.25","QUIC","79","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"259","65.290610","10.100.102.210","35.186.224.25","QUIC","74","Protected Payload (KP0), DCID=f5b16c721fcbda7d"
"260","65.298497","35.186.224.25","10.100.102.210","QUIC","66","Protected Payload (KP0)"
"261","65.298497","35.186.224.25","10.100.102.210","QUIC","66","Protected Payload (KP0)"
"262","65.320221","35.186.224.25","10.100.102.210","QUIC","1268","Protected Payload (KP0)"
"263","65.320760","10.100.102.210","35.186.224.25","QUIC","77","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"264","65.353163","10.100.102.210","35.186.224.25","QUIC","388","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"265","65.363807","35.186.224.25","10.100.102.210","QUIC","66","Protected Payload (KP0)"
"266","65.368534","35.186.224.25","10.100.102.210","QUIC","69","Protected Payload (KP0)"
"267","65.393728","10.100.102.210","35.186.224.25","QUIC","74","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"268","65.485809","35.186.224.25","10.100.102.210","QUIC","332","Protected Payload (KP0)"
"269","65.486234","10.100.102.210","35.186.224.25","QUIC","77","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"270","65.487112","35.186.224.25","10.100.102.210","QUIC","332","Protected Payload (KP0)"
"271","65.488082","10.100.102.210","35.186.224.25","QUIC","75","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"272","65.490673","10.100.102.210","35.186.224.25","QUIC","112","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"273","65.499086","35.186.224.25","10.100.102.210","QUIC","69","Protected Payload (KP0)"
"274","65.522072","157.240.195.56","10.100.102.210","TLSv1.2","296","Application Data"
"275","65.525077","10.100.102.210","35.186.224.25","QUIC","74","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"276","65.588570","35.186.224.25","10.100.102.210","QUIC","551","Protected Payload (KP0)"
"277","65.589015","10.100.102.210","35.186.224.25","QUIC","77","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
